AttributeColumn,Match,Analyte,StdUnits
Ti_%_ME-MS41L,Start_sep,Ti,PPM
Ti_%_ME-MS61L,Start_sep,Ti,PPM
Ti_%_ME-MS89L,Start_sep,Ti,PPM
Ti_%_MS41L,Start_sep,Ti,PPM
Ti_+/-,Confidence,NULL,NULL
Ti_00MXB_ppm,Start_sep,Ti,PPM
Ti_00XAB_ppm,Start_sep,Ti,PPM
Ti_00ZZZ_ppm,Start_sep,Ti,PPM
Ti_0_001,Start_sep,Ti,PPM
Ti_0_ACME_GROUP 1VE_ppm_LDL1,Start_sep,Ti,PPM
Ti_0_ppm,Start_sep,Ti,PPM
Ti_1,Start_sep,Ti,PPM
Ti_100,Start_sep,Ti,PPM
Ti_101,Start_sep,Ti,PPM
Ti_102,Start_sep,Ti,PPM
Ti_1?,Start_sep,Ti,PPM
Ti_1DX15_p,Start_sep,Ti,PPM
Ti_1DX15_ppm,Start_sep,Ti,PPM
Ti_2,Start_sep,Ti,PPM
Ti_20XAB_ppm,Start_sep,Ti,PPM
Ti_2SE_pct,Start_sep,Ti,PPM
Ti_3,Start_sep,Ti,PPM
Ti_3?,Start_sep,Ti,PPM
Ti_4,Start_sep,Ti,PPM
Ti_40MXB_ppm,Start_sep,Ti,PPM
Ti_40Q0D_ppm,Start_sep,Ti,PPM
Ti_4A/MS_ppm,Start_sep,Ti,PPM
Ti_4A/OE,Start_sep,Ti,PPM
Ti_4A/OE_ppm,Start_sep,Ti,PPM
Ti_4ABOE_ppm,Start_sep,Ti,PPM
Ti_4AH/OE_ppm,Start_sep,Ti,PPM
Ti_4AHOE_ppm,Start_sep,Ti,PPM
Ti_4AMS_ppm,Start_sep,Ti,PPM
Ti_4AOES_ppm,Start_sep,Ti,PPM
Ti_4AOE_ppm,Start_sep,Ti,PPM
Ti_4A_ICPES_PERCENT,Start_sep,Ti,PPM
Ti_4HSIAM_pct,Start_sep,Ti,PPM
Ti_4HSIMS_pct,Start_sep,Ti,PPM
Ti_5,Start_sep,Ti,PPM
Ti_6,Start_sep,Ti,PPM
Ti_82Q0D_ppm,Start_sep,Ti,PPM
Ti_87MXB_ppm,Start_sep,Ti,PPM
Ti_87Q0D_ppm,Start_sep,Ti,PPM
Ti_A/OES_m,Start_sep,Ti,PPM
Ti_AA7_ppm_0,Start_sep,Ti,PPM
Ti_AD02_ICP,Start_sep,Ti,PPM
Ti_AD02_ICPMS,Start_sep,Ti,PPM
Ti_AD02_ICPMS_ppm,Start_sep,Ti,PPM
Ti_AD02_ICPMS_ppm_DSC,Start_sep,Ti,PPM
Ti_AD02_ICP_ppm,Start_sep,Ti,PPM
Ti_AD02_SCAN_ppm,Start_sep,Ti,PPM
Ti_AD02_m,Start_sep,Ti,PPM
Ti_AOES_pct,Start_sep,Ti,PPM
Ti_AOES_ppm,Start_sep,Ti,PPM
Ti_AQ201_PPM,Start_sep,Ti,PPM
Ti_AQR64C_ppm,Start_sep,Ti,PPM
Ti_AQR64_%_0_0_01,Start_sep,Ti,PPM
